Geo Point;Geo Shape;gid;geom_err;typologie;cdate;mdate;nom_commune;code_commune
44.8480212780885, -0.5728368199721952;"{""coordinates"": [[[-0.5728111, 44.848034], [-0.572868, 44.8480286], [-0.5728634, 44.848009], [-0.5728057, 44.8480135], [-0.5728111, 44.848034]]], ""type"": ""Polygon""}";730357;;VTS;2022-10-10T11:24:40+02:00;2022-10-20T10:31:30+02:00;Bordeaux;33063
44.83139518800264, -0.5987339843770617;"{""coordinates"": [[[-0.5987127, 44.8314099], [-0.5987636, 44.831397], [-0.5987561, 44.8313805], [-0.5987039, 44.8313934], [-0.5987127, 44.8314099]]], ""type"": ""Polygon""}";732581;;VTS;2022-10-17T11:46:20+02:00;2022-10-21T08:25:36+02:00;Bordeaux;33063
44.82774408168457, -0.5756205375344975;"{""coordinates"": [[[-0.5756109, 44.8277731], [-0.575631, 44.8277722], [-0.5756282, 44.8277072], [-0.5756103, 44.8277228], [-0.5756109, 44.8277731]]], ""type"": ""Polygon""}";731034;;VTS;2022-10-11T10:38:14+02:00;2022-10-21T08:43:20+02:00;Bordeaux;33063
44.83011008761743, -0.5681754088603687;"{""coordinates"": [[[-0.5681406, 44.8301139], [-0.5682, 44.8301273], [-0.5682098, 44.8301056], [-0.5681503, 44.8300933], [-0.5681406, 44.8301139]]], ""type"": ""Polygon""}";731058;;VTS;2022-10-11T10:42:57+02:00;2022-10-21T08:47:40+02:00;Bordeaux;33063
44.825454547602284, -0.562906812588586;"{""coordinates"": [[[-0.5628736, 44.8254466], [-0.5629223, 44.8254768], [-0.5629409, 44.8254641], [-0.5628913, 44.8254316], [-0.5628736, 44.8254466]]], ""type"": ""Polygon""}";730753;;VTS;2022-10-11T08:59:58+02:00;2022-10-21T09:07:39+02:00;Bordeaux;33063
44.85362332703749, -0.5538366982406556;"{""coordinates"": [[[-0.5538223, 44.8536453], [-0.5538689, 44.8536143], [-0.5538508, 44.8536014], [-0.5538046, 44.8536324], [-0.5538223, 44.8536453]]], ""type"": ""Polygon""}";735472;;VTS;2022-10-24T08:38:13+02:00;2022-10-24T08:38:41+02:00;Bordeaux;33063
44.851717037738744, -0.5506106717796166;"{""coordinates"": [[[-0.5505758, 44.8517116], [-0.550627, 44.8517397], [-0.5506459, 44.8517218], [-0.5505927, 44.8516945], [-0.5505758, 44.8517116]]], ""type"": ""Polygon""}";735673;;VTS;2022-10-24T09:15:15+02:00;2022-10-24T09:15:34+02:00;Bordeaux;33063
44.84442817527174, -0.5421595338536005;"{""coordinates"": [[[-0.5421796, 44.8444123], [-0.5421506, 44.8444079], [-0.5421389, 44.8444439], [-0.5421693, 44.8444481], [-0.5421796, 44.8444123]]], ""type"": ""Polygon""}";735753;;VTS;2022-10-24T09:26:21+02:00;2022-10-24T09:26:46+02:00;Bordeaux;33063
44.82865636652221, -0.5398733867083998;"{""coordinates"": [[[-0.5398664, 44.8286828], [-0.5399064, 44.8286448], [-0.539882, 44.8286288], [-0.5398393, 44.8286694], [-0.5398664, 44.8286828]]], ""type"": ""Polygon""}";735786;;VTS;2022-10-24T09:30:33+02:00;2022-10-24T09:30:59+02:00;Bordeaux;33063
44.854740025238804, -0.614475063496591;"{""coordinates"": [[[-0.6144541, 44.8547193], [-0.6144134, 44.8547496], [-0.614455, 44.8547603], [-0.614493, 44.8547643], [-0.6145364, 44.8547219], [-0.6144541, 44.8547193]]], ""type"": ""Polygon""}";746888;;VTS;2022-11-21T09:02:40+01:00;2022-11-21T09:03:24+01:00;Bordeaux;33063
44.833458820590394, -0.5932670641480692;"{""coordinates"": [[[-0.5932402, 44.8334697], [-0.5932945, 44.8334689], [-0.5932934, 44.8334477], [-0.5932398, 44.8334489], [-0.5932402, 44.8334697]]], ""type"": ""Polygon""}";81999;;VTS;2009-12-01T00:00:00+01:00;2022-10-17T14:56:29+02:00;Bordeaux;33063
44.840929689970174, -0.6078667356762987;"{""coordinates"": [[[-0.6079031, 44.8409134], [-0.607852, 44.8409004], [-0.6078308, 44.8409469], [-0.6078813, 44.8409585], [-0.6079031, 44.8409134]]], ""type"": ""Polygon""}";747014;;VTS;2022-11-21T09:21:37+01:00;2022-11-21T09:22:07+01:00;Bordeaux;33063
44.84192014689174, -0.6028444053786531;"{""coordinates"": [[[-0.6028378, 44.841896], [-0.6028267, 44.8419412], [-0.6028511, 44.8419444], [-0.602862, 44.8418988], [-0.6028378, 44.841896]]], ""type"": ""Polygon""}";747126;;VTS;2022-11-21T09:39:07+01:00;2022-11-21T09:39:27+01:00;Bordeaux;33063
44.85869550865231, -0.5564664079139287;"{""coordinates"": [[[-0.5564916, 44.8587096], [-0.5564621, 44.8586729], [-0.5564413, 44.8586803], [-0.5564702, 44.8587184], [-0.5564916, 44.8587096]]], ""type"": ""Polygon""}";76219;;VTS;2001-04-19T00:00:00+02:00;2022-09-05T14:52:53+02:00;Bordeaux;33063
44.82581223333334, -0.5980190963254594;"{""coordinates"": [[[-0.5980624, 44.8258104], [-0.5980204, 44.8257814], [-0.597974, 44.8258104], [-0.5980213, 44.8258449], [-0.5980624, 44.8258104]]], ""type"": ""Polygon""}";81727;;VTS;2010-04-15T00:00:00+02:00;2022-09-05T15:02:28+02:00;Bordeaux;33063
44.84285331594304, -0.5503579433418514;"{""coordinates"": [[[-0.5503733, 44.8428454], [-0.5503626, 44.8428246], [-0.5503413, 44.8428637], [-0.5503555, 44.8428799], [-0.5503733, 44.8428454]]], ""type"": ""Polygon""}";78696;;VTS;2019-09-17T00:00:00+02:00;2022-09-05T11:37:21+02:00;Bordeaux;33063
44.8394073128996, -0.556051217049354;"{""coordinates"": [[[-0.5560303, 44.8393952], [-0.5560259, 44.8394138], [-0.556073, 44.8394191], [-0.5560763, 44.8394011], [-0.5560303, 44.8393952]]], ""type"": ""Polygon""}";85061;;VTS;2010-06-01T00:00:00+02:00;2022-09-05T11:40:53+02:00;Bordeaux;33063
44.870918020027695, -0.6029493607375955;"{""coordinates"": [[[-0.6029868, 44.8709256], [-0.6029548, 44.8708904], [-0.602911, 44.8709101], [-0.6029458, 44.8709461], [-0.6029868, 44.8709256]]], ""type"": ""Polygon""}";748425;;VTS;2022-11-22T11:53:46+01:00;2022-11-22T11:54:10+01:00;Le Bouscat;33069
44.80536011367846, -0.6295701694391576;"{""coordinates"": [[[-0.6295931, 44.8053455], [-0.6295389, 44.8053594], [-0.6295463, 44.8053743], [-0.629601, 44.8053616], [-0.6295931, 44.8053455]]], ""type"": ""Polygon""}";749033;;VTS;2022-11-22T13:52:26+01:00;2022-11-22T13:52:59+01:00;Pessac;33318
44.86541662705764, -0.5512272897539213;"{""coordinates"": [[[-0.5512194, 44.8654447], [-0.5512512, 44.8653929], [-0.5512351, 44.8653886], [-0.5512034, 44.8654404], [-0.5512194, 44.8654447]]], ""type"": ""Polygon""}";85246;;VTS;2010-12-07T00:00:00+01:00;2022-09-05T12:43:13+02:00;Bordeaux;33063
