Geo Point;Geo Shape;gid;ident;type;zone;comptage_5m;cdate;mdate;commune;CODE_COMMUNE
44.8537514, -0.5710787;"{""coordinates"": [-0.5710787, 44.8537514], ""type"": ""Point""}";600;Z15CT14;BOUCLE;15;30;2017-03-21T09:49:24+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.834163, -0.8010063;"{""coordinates"": [-0.8010063, 44.834163], ""type"": ""Point""}";4297;Z7CE;SIREDO;7;;2020-05-04T14:43:52+02:00;;Martignas-sur-Jalle;33273
44.8963839, -0.6757296;"{""coordinates"": [-0.6757296, 44.8963839], ""type"": ""Point""}";4295;Z23EE;SIREDO;23;;2020-05-04T14:40:21+02:00;;Le Taillan-Médoc;33519
44.8742472, -0.6168415;"{""coordinates"": [-0.6168415, 44.8742472], ""type"": ""Point""}";4321;Z23CT13;BOUCLE;23;17;2020-09-09T14:07:26+02:00;2024-10-01T16:25:00+02:00;Bruges;33075
44.8347986, -0.5987533;"{""coordinates"": [-0.5987533, 44.8347986], ""type"": ""Point""}";229;Z6CT3;BOUCLE;6;79;2012-11-09T08:15:52+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.839874, -0.5993177;"{""coordinates"": [-0.5993177, 44.839874], ""type"": ""Point""}";231;Z6CT2;BOUCLE;6;53;2012-11-09T08:18:36+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8407057, -0.5928835;"{""coordinates"": [-0.5928835, 44.8407057], ""type"": ""Point""}";233;Z6CT5;BOUCLE;6;25;2012-11-09T08:21:28+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8411116, -0.5876603;"{""coordinates"": [-0.5876603, 44.8411116], ""type"": ""Point""}";235;Z6CT16;BOUCLE;6;14;2012-11-09T08:23:36+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.842193, -0.5934232;"{""coordinates"": [-0.5934232, 44.842193], ""type"": ""Point""}";238;Z6CT13;BOUCLE;6;33;2012-11-09T08:28:24+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8385652, -0.6181598;"{""coordinates"": [-0.6181598, 44.8385652], ""type"": ""Point""}";240;Z6CT8;BOUCLE;6;0;2012-11-09T08:35:12+01:00;2024-10-01T16:25:00+02:00;Mérignac;33281
44.8367576, -0.5968019;"{""coordinates"": [-0.5968019, 44.8367576], ""type"": ""Point""}";245;Z6CT12;BOUCLE;6;5;2012-11-09T08:42:56+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.8087492, -0.6626396;"{""coordinates"": [-0.6626396, 44.8087492], ""type"": ""Point""}";246;Z27CT7;BOUCLE;27;23;2012-11-16T15:58:28+01:00;2024-10-01T16:25:00+02:00;Pessac;33318
44.8025503, -0.663169;"{""coordinates"": [-0.663169, 44.8025503], ""type"": ""Point""}";247;Z27CT6;BOUCLE;27;97;2012-11-16T16:07:32+01:00;2024-10-01T16:25:00+02:00;Pessac;33318
44.7970702, -0.6619654;"{""coordinates"": [-0.6619654, 44.7970702], ""type"": ""Point""}";251;Z27CT5;BOUCLE;27;52;2012-11-16T16:16:28+01:00;2024-10-01T16:25:00+02:00;Pessac;33318
44.7930328, -0.6710984;"{""coordinates"": [-0.6710984, 44.7930328], ""type"": ""Point""}";252;Z27CT1;BOUCLE;27;54;2012-11-16T16:19:16+01:00;2024-10-01T16:25:00+02:00;Pessac;33318
